gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
SYN2,1,212,4,143,0.18149251854342818,0.6830913983096087,0.7411412726789591,0.16552118339626223
ITIH3,0,213,2,145,0.3242395507928306,1.0,0.4891340109451508,-0.0
LRIG1,5,208,2,145,0.7808101540403325,1.0,0.10745454752500777,-0.0
HTR1F,8,205,5,142,1.0,0.5270892568655381,-0.0,0.27811583548597757
OR5H1,5,208,2,145,0.7808101540403325,1.0,0.10745454752500777,-0.0
C3orf17,2,211,1,146,1.0,1.0,-0.0,-0.0
MRPL3,1,212,2,145,0.7456564822546201,0.4795001221869535,0.12746120231390273,0.31921127782572034
P2RY14,1,212,3,144,0.375322161805409,1.0,0.4255957908610071,-0.0
SMC4,8,205,7,140,0.8405228482013088,0.4226780741706355,0.07545047649829884,0.3739902800008296
MIR551B,1,212,1,146,1.0,1.0,-0.0,-0.0
TBCCD1,4,209,2,145,1.0,1.0,-0.0,-0.0
LSG1,4,209,2,145,1.0,0.7236736098317631,-0.0,0.14045726447967397
C4orf50,3,210,5,142,0.3696340707799328,0.3016995824783478,0.43222800479566054,0.5204252908441533
MAN2B2,7,206,4,143,1.0,1.0,-0.0,-0.0
ADGRA3,5,208,10,137,0.07013734549788579,0.5716076449533316,1.1540506749734203,0.24290197138064135
PDS5A,2,211,4,143,0.37915055837743683,1.0,0.4211883000887042,-0.0
CNGA1,4,209,2,145,1.0,1.0,-0.0,-0.0
SLC10A4,2,211,2,145,1.0,1.0,-0.0,-0.0
ADGRL3,32,181,21,126,0.9658041913682361,0.9649691151497184,0.01511091419333779,0.015486586484912013
UGT2B11,14,199,11,136,0.9020858882650751,0.9073263250317443,0.044752110990422325,0.04223648838408327
PRR27,3,210,6,141,0.2100563423284648,0.6373518882339371,0.6776642010735195,0.1956207232016865
PF4V1,1,212,2,145,0.7456564822546201,1.0,0.12746120231390273,-0.0
CNOT6L,1,212,3,144,0.375322161805409,1.0,0.4255957908610071,-0.0
SLC10A6,1,212,4,143,0.18149251854342818,1.0,0.7411412726789591,-0.0
MANBA,7,206,5,142,1.0,1.0,-0.0,-0.0
ENPEP,8,205,8,139,0.6149847695841297,1.0,0.21113563961885065,-0.0
MYOZ2,2,211,2,145,1.0,0.6170750774519738,-0.0,0.2096619936012596
ANKRD50,6,207,5,142,0.9958575899149998,1.0,0.0018027623153314758,-0.0
C4orf51,1,212,1,146,1.0,1.0,-0.0,-0.0
