gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
MPRIP,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
ALKBH5,0,138,0,93,1.0,1.0,-0.0,-0.0
TOP3A,3,135,2,91,1.0,1.0,-0.0,-0.0
ALDH3A2,0,138,1,92,0.842230304417774,1.0,0.0745691362182484,-0.0
MAP2K3,4,134,1,92,0.6362574981407336,1.0,0.1963670865695941,-0.0
KCNJ12,3,135,4,89,0.5936041255614561,0.3864762307712327,0.22650308936253855,0.41287721109190795
KSR1,1,137,2,91,0.729148303480987,1.0,0.13718413034732296,-0.0
SPAG5,1,137,1,92,1.0,1.0,-0.0,-0.0
SDF2,1,137,1,92,1.0,1.0,-0.0,-0.0
SLFN11,3,135,1,92,0.9096079781954267,1.0,0.04114573909532821,-0.0
TBC1D3B,3,135,0,93,0.40162896798675896,1.0,0.3961749707059321,-0.0
STARD3,2,136,1,92,1.0,1.0,-0.0,-0.0
KRT27,2,136,1,92,1.0,1.0,-0.0,-0.0
KRTAP9-2,3,135,0,93,0.40162896798675896,1.0,0.3961749707059321,-0.0
ADAM11,2,136,3,90,0.6534376736205666,1.0,0.18479583010872824,-0.0
EFTUD2,2,136,2,91,1.0,1.0,-0.0,-0.0
NMT1,2,136,1,92,1.0,1.0,-0.0,-0.0
ACBD4,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
CTD-2026D20.3,1,137,0,93,1.0,1.0,-0.0,-0.0
HOXB5,4,134,1,92,0.6362574981407336,1.0,0.1963670865695941,-0.0
ABI3,2,136,3,90,0.6534376736205666,1.0,0.18479583010872824,-0.0
MYCBPAP,3,135,0,93,0.40162896798675896,1.0,0.3961749707059321,-0.0
KIF2B,17,121,10,83,0.8771690446333157,0.28912468363452093,0.05691670301155635,0.5389148294339726
OR4D1,3,135,2,91,1.0,1.0,-0.0,-0.0
MTMR4,5,133,1,92,0.4399552714975573,1.0,0.3565914742620167,-0.0
TEX14,4,134,1,92,0.6362574981407336,0.6830913983096087,0.1963670865695941,0.16552118339626223
MED13,5,133,7,86,0.31303535048391784,1.0,0.5044066156382156,-0.0
ABCA10,11,127,8,85,1.0,0.8767217432348915,-0.0,0.057138222543603234
SDK2,7,131,5,88,1.0,0.8291595310928367,-0.0,0.08136190273346594
TTYH2,1,137,1,92,1.0,1.0,-0.0,-0.0
CD300LD,6,132,2,91,0.5969016724391754,1.0,0.22409720427118773,-0.0
TNRC6C,0,138,1,92,0.842230304417774,1.0,0.0745691362182484,-0.0
CCDC40,3,135,3,90,0.9432369235568201,0.5049850750938458,0.02537920687065199,0.29672145732721994
RPTOR,2,136,3,90,0.6534376736205666,1.0,0.18479583010872824,-0.0
TEX19,1,137,1,92,1.0,1.0,-0.0,-0.0
CTAGE1,2,136,6,87,0.0944562752556198,0.7728299926844475,1.0247691841862185,0.11191603177295384
ZNF521,26,112,8,85,0.04945201177124807,0.42317529783755603,1.3058160360510283,0.3734796914595187
DSG4,6,132,4,89,1.0,1.0,-0.0,-0.0
DTNA,7,131,6,87,0.8768301892489665,1.0,0.05708450585043349,-0.0
C18orf25,0,138,0,93,1.0,1.0,-0.0,-0.0
CFAP53,0,138,0,93,1.0,1.0,-0.0,-0.0
